Tabel 4: Hoofden van gezinnen en afzonderlijk levende personen zonder beroep.,,,,,,,,,,,
,,,,,,,,,,,
Gemeenten,,MANNEN,,VROUWEN,,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden,,,,,,
,,,,,,,,,,,
Groningen,,735,255,1383,206,BT,03_T4,354,355,GR,30_0179
,,735,255,1383,206,BT,03_T4,354,355,GR,30_0179
Bedum,,59,3,82,21,BT,03_T4,354,355,GR,30_0179
Delfzijl,,34,7,84,52,BT,03_T4,354,355,GR,30_0179
Hoogezand,,57,6,106,30,BT,03_T4,354,355,GR,30_0179
Onstwedde,,37,4,111,37,BT,03_T4,354,355,GR,30_0179
Oude-pekela,,66,2,100,34,BT,03_T4,354,355,GR,30_0179
Sappemeer,,68,2,64,44,BT,03_T4,354,355,GR,30_0179
Scheemda,,43,8,59,44,BT,03_T4,354,355,GR,30_0179
Slochteren,,92,7,83,41,BT,03_T4,354,355,GR,30_0179
Ten Boer,,34,7,57,40,BT,03_T4,354,355,GR,30_0179
Veendam,,118,2,244,2,BT,03_T4,354,355,GR,30_0179
Vlagtwedde,,13,,36,10,BT,03_T4,354,355,GR,30_0179
Wildervank,,99,18,126,66,BT,03_T4,354,355,GR,30_0179
Winschoten,,53,6,76,33,BT,03_T4,354,355,GR,30_0179
Totaal,,773,72,1228,454,BT,03_T4,354,355,GR,30_0179
Totaal overige gemeenten,,965,134,1642,992,BT,03_T4,354,355,GR,30_0179
Algemeen totaal,,2473,461,4253,1652,BT,03_T4,354,355,GR,30_0179
,,,,,,,,,,,
,,,,,,,,,,,
