Tabel 4: Hoofden van gezinnen en afzonderlijk levende personen zonder beroep,,,,,,,,,,,
,,,,,,,,,,,
Gemeenten,,MANNEN,,VROUWEN,,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden,,,,,,
,,,,,,,,,,,
Leeuwarden,,277,30,528,195,BT,04_T4,656,657,FR,30_0512
,,277,30,528,195,BT,04_T4,656,657,FR,30_0512
Achtkarspelen,,48,7,145,69,BT,04_T4,656,657,FR,30_0512
Baarderadeel,,45,7,76,32,BT,04_T4,656,657,FR,30_0512
Barradeel,,37,4,103,49,BT,04_T4,656,657,FR,30_0512
t Bildt,,33,4,144,53,BT,04_T4,656,657,FR,30_0512
Bolsward,,75,3,178,41,BT,04_T4,656,657,FR,30_0512
Dantumadeel,,72,8,180,86,BT,04_T4,656,657,FR,30_0512
Ferwerderadeel,,38,6,140,92,BT,04_T4,656,657,FR,30_0512
Franeker,,49,2,113,72,BT,04_T4,656,657,FR,30_0512
Franekeradeel,,42,5,65,28,BT,04_T4,656,657,FR,30_0512
Gaasterland,,31,1,115,30,BT,04_T4,656,657,FR,30_0512
Harlingen,,66,9,207,135,BT,04_T4,656,657,FR,30_0512
Haskerland,,55,3,126,85,BT,04_T4,656,657,FR,30_0512
Idaarderadeel,,49,6,71,31,BT,04_T4,656,657,FR,30_0512
Kollumerland en Nieuwkruisland,,34,6,134,70,BT,04_T4,656,657,FR,30_0512
Leeuwarderadeel,,82,20,139,85,BT,04_T4,656,657,FR,30_0512
Lemsterland,,52,4,80,37,BT,04_T4,656,657,FR,30_0512
Menaldumadeel,,61,8,180,65,BT,04_T4,656,657,FR,30_0512
Oostdongeradeel,,40,4,137,76,BT,04_T4,656,657,FR,30_0512
Ooststellingwerf,,25,2,137,32,BT,04_T4,656,657,FR,30_0512
Opsterland,,103,1,298,12,BT,04_T4,656,657,FR,30_0512
Schoterland,,96,17,267,85,BT,04_T4,656,657,FR,30_0512
Smallingerland,,39,3,133,45,BT,04_T4,656,657,FR,30_0512
Sneek,,158,2,205,96,BT,04_T4,656,657,FR,30_0512
Tietjerksteradeel,,82,10,170,71,BT,04_T4,656,657,FR,30_0512
Utingeradeel,,54,4,99,42,BT,04_T4,656,657,FR,30_0512
Westdongeradeel,,43,6,169,83,BT,04_T4,656,657,FR,30_0512
Weststellingwerf,,67,9,188,57,BT,04_T4,656,657,FR,30_0512
Wonseradeel,,73,6,195,79,BT,04_T4,656,657,FR,30_0512
Wijmbritseradeel,,122,16,162,79,BT,04_T4,656,657,FR,30_0512
Totaal,,1771,183,4356,1817,BT,04_T4,656,657,FR,30_0512
Totaal overige gemeenten,,346,36,632,285,BT,04_T4,656,657,FR,30_0512
Algemeen totaal,,2394,249,5516,2297,BT,04_T4,656,657,FR,30_0512
,,,,,,,,,,,
,,,,,,,,,,,
