Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Krachts-werktuig gedreven door,,BEROEPSKLASSE,,,,,,,,,,,,,,,,,,,,,Totaal,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achterkarspelen,Stoom.,,1,,,,,,,,,,,,,,,1,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
,Wind.,,,,,,,,,,,,,,,,,6,,,,,2,8,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,1,,,,,,2,3,BT_1889,04_T5,660,661,FR,30_0514
Engwirden,Wind.,,,,,,,,,,,,,,,,,1,,,,,7,8,BT_1889,04_T5,660,661,FR,30_0514
Ameland,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,04_T5,660,661,FR,30_0514
Baarderadeel,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2,BT_1889,04_T5,660,661,FR,30_0514
Barradeel,Wind.,,,,,,1,,,,,,,,,,,3,,,,,1,5,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,2,,1,,,,,3,BT_1889,04_T5,660,661,FR,30_0514
t Bildt,Water.,,,,,,,,,,,,,,,,,,6,,,,,6,BT_1889,04_T5,660,661,FR,30_0514
,Wind.,,,,,,,,,,,,,,,,,6,,,,,,6,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,1,2,,,,,,,,,,,,1,2,2,,,1,,,9,BT_1889,04_T5,660,661,FR,30_0514
,Gas.,,,,,,,,,,,,,,,,,1,,,1,,,2,BT_1889,04_T5,660,661,FR,30_0514
