Tabel 4 -  Hoofden van gezinnen en afzonderlijk levende personen zonder beroep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,,Mannen,,Vrouwen,,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr,,,,,,,,,,,,,,,,,,,
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assen,,74,19,132,34,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Borger,,17,1,34,7,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Emmen,,14,5,49,14,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Hoogeveen,,54,4,175,55,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Meppel,,65,7,136,50,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Norg,,6,5,27,3,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Odoorn,,3,,58,3,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Smilde,,27,3,77,14,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Totaal ,,260,44,688,180,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Totaal overige gemeenten,,210,36,557,147,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
Algemeen totaal,,470,80,1245,327,BT_1889,05_T4,208,209,DR,31_0106,,,,,,,,,,,,,,,,,,,
