Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anlo,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,BT_1889,05_T5,212,213,DR,31_0108
Assen,Stoom,,,,,,,,,,,1,,,,,,1,,,2,,,4,BT_1889,05_T5,212,213,DR,31_0108
,Gas,,,3,,,,,,,,,,,,,,,,,1,,,4,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,,4,,,3,,,7,BT_1889,05_T5,212,213,DR,31_0108
Beilen,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT_1889,05_T5,212,213,DR,31_0108
Borger,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,,6,,,,,,6,BT_1889,05_T5,212,213,DR,31_0108
Coevorden,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,BT_1889,05_T5,212,213,DR,31_0108
Dalen,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT_1889,05_T5,212,213,DR,31_0108
Diever,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT_1889,05_T5,212,213,DR,31_0108
Dwingelo,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,05_T5,212,213,DR,31_0108
Eelde,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,05_T5,212,213,DR,31_0108
Emmen,Wind,,,,,,,,,,,,,,,,,11,,,,,,11,BT_1889,05_T5,212,213,DR,31_0108
Gasselte,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,1,,,,,,,,,,,1,,,,,,2,BT_1889,05_T5,212,213,DR,31_0108
Gieten,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT_1889,05_T5,212,213,DR,31_0108
Halvelte,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT_1889,05_T5,212,213,DR,31_0108
Hoogeveen,Stoom,,,,,,1,,,,2,,,,,,,1,,,,,,4,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,,7,,,,,,7,BT_1889,05_T5,212,213,DR,31_0108
Meppel,Stoom,,,,,,,,,,,,,,,,1,2,,,2,4,,9,BT_1889,05_T5,212,213,DR,31_0108
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,1,4,,,1,,,6,BT_1889,05_T5,212,213,DR,31_0108
Nijeveen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,05_T5,212,213,DR,31_0108
Norg,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,BT_1889,05_T5,212,213,DR,31_0108
Odoorn,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,05_T5,212,213,DR,31_0108
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,05_T5,212,213,DR,31_0108
