PROVINCIE OVERIJSSEL HOOFDEN VAN GEZINNEN EN AFZONDERLIJK LEVENDE PERSONEN ZONDER BEROEP,,,,,,,,,,,
,,,,,,,,,,,
Gemeenten,,MANNEN,,VROUWEN,,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr.
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden,,,,,,
,,,,,,,,,,,
Deventer,,130,8,414,117,BT,1889_06_T5,472,473,OV,31_0347
Zwolle,,203,21,642,212,BT,1889_06_T5,472,473,OV,31_0347
,,333,29,1056,329,BT,1889_06_T5,472,473,OV,31_0347
Almelo (stad),,90,10,197,17,BT,1889_06_T5,472,473,OV,31_0347
Almelo (Ambt),,13,1,75,4,BT,1889_06_T5,472,473,OV,31_0347
Avereest,,21,2,71,15,BT,1889_06_T5,472,473,OV,31_0347
Dalfsen,,13,1,44,16,BT,1889_06_T5,472,473,OV,31_0347
Enschedé,,103,8,252,32,BT,1889_06_T5,472,473,OV,31_0347
Hardenberg (Ambt),,8,,82,17,BT,1889_06_T5,472,473,OV,31_0347
Hellendoorn,,18,1,56,4,BT,1889_06_T5,472,473,OV,31_0347
Hengelo,,40,3,137,34,BT,1889_06_T5,472,473,OV,31_0347
Kampen,,156,126,322,142,BT,1889_06_T5,472,473,OV,31_0347
Lonneker,,5,,52,6,BT,1889_06_T5,472,473,OV,31_0347
Raalte,,21,8,34,25,BT,1889_06_T5,472,473,OV,31_0347
Staphorst,,7,8,18,7,BT,1889_06_T5,472,473,OV,31_0347
Steenwijk,,63,3,118,45,BT,1889_06_T5,472,473,OV,31_0347
Steenwijkerwold,,23,5,85,15,BT,1889_06_T5,472,473,OV,31_0347
Tubbergen,,2,1,13,19,BT,1889_06_T5,472,473,OV,31_0347
Wierden,,13,3,100,15,BT,1889_06_T5,472,473,OV,31_0347
Zwollerkerspel,,14,,23,5,BT,1889_06_T5,472,473,OV,31_0347
Totaal,,610,180,1679,418,BT,1889_06_T5,472,473,OV,31_0347
Totaal overige gemeenten,,407,75,1375,448,BT,1889_06_T5,472,473,OV,31_0347
Algemeen totaal,,1350,284,4110,1195,BT,1889_06_T5,472,473,OV,31_0347
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
