PROVINCIE OVERIJSSEL OPGAVE VAN HET AANTAL KRACHTSWERKTUIGEN IN DE ONDERSCHEIDENE BEROEPSKLASSEN GEBEZIGD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeenten,Krachtswerktuig gedreven door,,BEROEPSKLASSE,,,,,,,,,,,,,,,,,,,,,Totaal Krachts-werktuigen,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr.
,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almelo (Stad),Stoom,,,,,,,2,,,,1,,,1,13,,,,,,,,17,BT,1889_06_T4,476,477,OV,310349
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,476,477,OV,310349
Almelo (Ambt),Stoom,,,,1,,,1,,,,,,,,,,1,,,,,,3,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
Avereest,Stoom,,,,,1,,,,,,,,,,,,,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,3,,,1,,,4,BT,1889_06_T4,476,477,OV,310349
Bathmen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,BT,1889_06_T4,476,477,OV,310349
Blankenham,Wind,,,,,,,,,,,,,,,,,,,,,,2,2,BT,1889_06_T4,476,477,OV,310349
Blokzijl,Stoom,,,,,,,,,,,,,,,,,,,,1,,,1,BT,1889_06_T4,476,477,OV,310349
,Wind,,,,,,,,,,,,,,,,,,,,,,3,3,BT,1889_06_T4,476,477,OV,310349
