Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenummer
,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoom.,,,,,,1,,,,,,,,,3,,5,,,,,,9,320094
Aalten,Wind.,,,,,,,,,,,,,,,,,8,,,,,,8,
Ammerzoden,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Angerlo,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,1,,,6,,,,1,6,,1,1,,,,,,,,16,
,Gas.,,,,,,,,,,,,,,,,,3,,,1,,,4,
Apeldoorn,Water.,,,,,,,13,,,,1,20,,,,,7,,,,,,41,
,Wind.,,,,,,,,,,,,1,,,,,4,,,,,,5,
,Stoom.,,,,,,,,,,,,,,,,,,,,,1,2,3,
Appeltern,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,5,1,,,2,2,,1,,,1,2,1,,2,5,,,5,,,27,
,Gas.,,,2,,,,1,,,,,,,1,,,,,,1,,,5,
Arnhem,Water.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind.,,,,,,,,,,,,,,,,,2,,,1,,,3,
Balgoy,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,
Barneveld,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,6,,,,,,6,
Batenburg,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Beesd,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,3,,,,,,3,
Bemmel,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Wind.,,,,,,,,,,,,,,,,,8,1,,,,,9,
Bergh,Water.,,,,,,,,,,,,,,,,,,1,,,,,1,
Bergharen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Beuningen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Beusichem,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,2,,,,,,,,,1,,,,,,,,,1,,1,5,
Bommel (zalt),Gas.,,,,,,,,,,,,,,,,,1,,,1,,,2,
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,
Borculo,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
Brakel,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,1,,,,,1,,,,,7,,,,,,,,,,,9,
Brummen,Water.,,,,,,,,,,,,1,,,,,3,2,,,,,6,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Buren,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Buurmalsen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,2,,1,,2,,,,,,,,1,,,2,,,,1,,9,
Culemborg,Water.,,,,,,,,,,,,,,,,,,,1,,,,1,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,1,,,,,,,,,,,,,,,,,,,,1,2,
Deil,Wind.,,,,,,,,,,,,,,,,,1,,,,,3,4,
Didam,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Dinxperlo,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,1,,,,,,,1,
Dodewaard,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
