Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklasse gebezigd.,,,,,
,,,,,
Gemeenten,,MANNEN,,VROUWEN,
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden
,,,,,
Amsterdam,,3825,429,8672,3033
Totaal,,3825,429,8872,3033
Haarlem,,543,61,1040,672
Den Helder,,181,20,349,159
Nieuw Amstel,,374,26,378,129
Totaal,,1098,107,1762,960
Alkmaar,,165,17,264,131
Edam,,55,7,101,59
Enkhuizen,,74,6,119,42
Haarlemmermeer,,21,8,175,53
Hilversum,,139,6,282,19
Hoorn,,106,13,178,85
purmerend,,36,3,95,33
Sloten,,54,2,69,36
Texel,,62,7,122,62
Velzen,,21,2,82,34
Weesp,,44,3,115,18
Zaandam,,135,13,316,168
Totaal,,912,87,1918,740
Overige totaal gemeente,,1482,180,3055,1233
Algemene totaal,,7317,803,15407,5966
