Tabel 6:Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenr.
,,,,,,,,,,,,,,,,,,,,,,,,,
Aalsmeer,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,320370
,Wind,,,,,,,,,,,,,,,,,3,,,,,3,6,
Abbekerk,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Akersloot,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,1,,,,,,,,,,,,,,,,6,7,
Alkmaar,Stoom,,,2,,,,,,,,,,,,,4,9,,,1,,,16,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,1,,,,,,,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,5,,,1,,4,10,
Amsterdam,Stoom,,7,19,8,9,10,5,,5,2,18,7,5,16,,4,50,1,,11,3,1,181,
,Gas,,,20,,,,,,,,1,,1,4,,,9,,,2,,,37,
,Water,,,,,,1,,,,,,,,,,,,,,,,,1,
,Wind,,1,,,1,,,,,,,,,,,4,12,,,1,,,19,
Andijk,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
,Wind,,,,,,,,,,,,,,,,,1,,,,,5,6,
Anna Paulowna,Stoom,,,,,,,,,,,,,,,,,,4,,,,,4,
,Wind,,,,1,,,,,,,,,,,,,1,,,,,2,4,
Assendelft,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Avenhorn,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Barsingerhorn,Wind,,,,,,,,,,,,,,,,,1,,,1,,8,10,
Beemster,Stoom,,,,,,,,,,,,,,,,,,1,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Beets,Stoom,,,,,,,,,,,,,,,,,,,,1,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,1,2,
Bergen,Wind,,,,,,,,,,,,,,,,,,,,,,8,8,
Berkhout,Stoom,,,,,,,,,,,,,,,,,,,,,,2,2,
,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Beverwijk,Stoom ,,,,,,1,,,,,,,,,,,,,,,,1,2,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Blaricum,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Bloemendaal,Stoom,,,,,,,3,,,,,,,,,,2,,,,,,5,
Blokker,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3,
Bovenkarspel,Wind,,,,,,1,,,,,,,,,,,3,,,,,,4,
Broek in Waterland,Stoom,,,,,,,,,,,,,,,,,,,,,1,1,2,
Broek op Lagerdijk,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Buikersloot,Stoom,,,,,,,,,,,,,,,,,,,,,,1,1,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Bussum,Stoom,,,,,,,,,,1,,,,,,,1,,,,1,,3,
,Gas,,,,,,1,,,,,,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,
Castricum,Stoom,,,,1,,,,,,,,,,,,,,,,,,,1,
Diemen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
