Tabel 7: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal
,,,,,,,,,,,,,,,,,,,,,,,,
Aar (Ter),Wind.,,,,,,,,,,,,,,,,,3,1,,,,,4
Aarlanderveen,Stoom.,,1,,,1,,,,,,,,,,,,1,,,,,,3
,Gas.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,1,,,,,,,,,,,,,,,1,,,,,,2
Abbenbroek,Stoom.,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Ablas (Oud),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Ablasserdam,Stoom.,,1,,1,,,,,,,1,,1,1,1,,2,,,,,1,9
,Wind.,,,,,,1,,,,,,,,,1,,1,,,,,3,6
Alkemade,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Alphen,Stoom.,,5,,,,1,2,,,1,,,,,1,1,2,,,,,,13
,Wind.,,,,,,1,,,,,,,,,,,1,,,2,,5,9
Almeide,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Arkel,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Asperen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Barendrecht,Wind.,,,,,,,,,,,,,,,,,2,,,,,1,3
Barwoutswaarder,Stoom.,,2,,,,,,,,,,,,,,,,,,,,,2
Beijerland (Nieuw),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Beijerland (Oud),Stoom.,,,,,,,,,,,,,,,,1,1,,,,,,2
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Beijerland (Zuid),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Benthuizen,Stoom.,,,,,,,,,,,,,,,,,,1,,,,,1
Bergambacht,Wind.,,,,,,,,,,,,,,,,,,1,,,,5,6
Bergschenhoek,Wind.,,,,,,,,,,,,,,,,,,,,,,17,17
Berkel en Rodenrijs,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Bleiswijk,Stoom.,,,,,,,,,,,,,,,,,1,1,,,,,2
,Wind.,,,,,,,,,,,,,,,,,,,,,,20,20
Bleskensgraaf en Hofwegen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Bodegraven,Stoom.,,,,,,,,,,,,,,,,,1,,,,1,,2
Bommel (den),Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Boskoop,Stoom.,,,,1,,2,,,,,,,,,,,,,,,1,1,5
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Brandwijk,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Capelle a/d Ijssel,Stoom.,,2,,,1,,,,,,,,,,,,2,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Charlois,Stoom.,,,,,,,,,,,,,,,,,1,,,,2,1,4
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Delft,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Dirkland,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Dordrecht,Stoom.,,4,,3,2,4,5,,,,4,1,,2,,5,6,,,2,,,38
,Gas.,,,1,,1,1,,,,,,,,,1,,,,,,,,4
,Water.,,,,,,,,,,,,,,,,1,,,,,,,1
,Wind.,,,,,,4,,,,,,,,,,3,3,,,5,,,15
Dubbeldam,Stoom.,,,,,,,,,,,,,,,,3,,,1,,,,4
,Wind.,,,,,,,,,,,,,,,,2,1,,,,,1,4
Geervliet,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Giessendam,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Giessen-Nieuwkerk,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Goedereede,Stoom.,,,,1,,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Gorinchem,Stoom.,,1,1,,,,,,,,,,,1,,,5,,,,,,8
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3
Gouda,Stoom.,,4,,2,,5,18,,,,1,1,,1,4,4,7,,,1,,,48
,Gas,,,,,,,,,,,,,,,,,2,,,,,,2
,Wind.,,,,,,,,,,,,1,,,,,3,,,,,,4
Gouderak,Stoom.,,5,,,,,,,,,,,,,,,1,,,,,,6
Goudriaan,Wind.,,,,,,,,,,,,,,,,,,,,,,4,4
Goudswaard,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
s-Gravendeel,Stoom.,,,,,,,,,,,,,,,3,,2,,,,,1,6
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
s-Gravenhage,Stoom.,,,,,2,,2,,,,,,,,1,,,,,1,,,6
,Gas,,,,,,,,,,,,,,,,,,,,2,,,2
,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4
s-Gravenzande,Stoom.,,,,2,,,,,,,,,,,,,1,,,,,,3
Groot-Ammers,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Haastrecht,Stoom.,,,,,,,1,,,,,,,,,,,,,,,5,6
,Wind.,,,,,,,,,,,,,,,,,1,,,,,6,7
Hagestein,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hardinxveld,Stoom.,,,,,,,,,,,,,,,,,1,,,,,1,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hazerswoude,Stoom.,,3,,,,,,,,,,,,,,,2,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,3,,,,,25,28
Heenvliet,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Heerjansdam,Stoom.,,,,,,,,,,,,,,,,,,1,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Heineoord,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hekelingen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Hekendorp,Stoom.,,,,,,,,,,,,,,,1,,,,,,,,1
Hellevoetsluis,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Helvoet (nieuw),Stoom.,,,,,,,,,,,,,,,,,,,,,1,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Hendrik-ldo-Ambacht,Stoom.,,1,,,,,,,,,,,,,14,,,,,,,,15
Herkingen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Heukelum,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Hillegersberg,Stoom.,,,,,,1,,,,,,,,,,,4,,,,,2,7
,Wind.,,,,,,,,,,,,,,,,1,1,,,,,2,4
Hillegom,Water.,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,,,,,,3,3
Hof van Delft,Stoom.,,,,,3,,,,,1,,,,,,,1,,,,,,5
,Wind.,,,,,,,,,,,,,,,,,2,,,,,6,8
Hoogvliet,Stoom.,,,,,,,,,,,,,,,,,,,,,,2,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Ijsselmonde,Stoom.,,1,,,,1,1,,,,,,,,,,,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Katwijk,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Kethel,Stoom.,,,,,,,,,,,,,,,,,1,,,,,1,2
,Wind.,,,,,,,,,,,,,,,,,1,,,,,1,2
Koudekerk,Wind.,,,,,,,,,,,,,,,,,,,,,,2,2
Kralingen,Stoom.,,1,,,1,,,,1,,,,,,3,2,3,,,,,,11
,Water.,,,,,,,,,,,,,,,,,5,,,,,,5
,Wind.,,,,,1,,,,,,,,,,,,1,,,,,,2
Krimpen aan de Lek,Stoom.,,,,,,2,,,,1,,,1,,,,2,,,,1,1,8
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2
Krimpen aan de Ijssel,Stoom.,,3,,,,,,,,,,,,,,,,,,,,,3
,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1
Langerak,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1
,Wind.,,,,,,,,,,,,,,,,,1,,,,,3,4
