T5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal
,,,,,,,,,,,,,,,,,,,,,,,,
Abcoude-Baambrugge,Stoom,,2,,,,,,,,,,,,,,,,,,,,,2
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Abcoude-Proostdij,Wind,,,,,,,,,,,,,,,,,,,,,,4,4
Achttienhoven,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Amersfoort,Stoom,,,,,,,3,,,,,,,,,1,3,,,1,,,8
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Amerongen,Wind,,,,,,,,,,,,,,,,,2,,,,,,2
Baarn,Stoom,,,,,,,,,,,1,,,,,,,,,,,,1
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Benschop,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Bildt (De),Stoom,,,,,,,,,,,,,,,,,2,,,1,,,3
Breukelen-Nijenrode,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind,,,,,,,,,,,,,,,,,,,,,,5,5
Breukelen-St. Pieters,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Bunnik,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Bunschoten,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Doorn,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Eemnes,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Haarzuilens,Wind,,,,,,,,,,,,,,,,,,,,1,,,1
Harmelen,Stoom,,,,,,1,,,,,,,,,,,,,,,,,1
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Hoogland,Stoom,,,,,,2,,,,,,,,,,,,,,,,,2
,Water,,,,,,,,,,,,,,,,,1,,,,,,1
Houten,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Ijsselstein,Stoom,,1,,,,2,,,,,,,,,,,1,,,,,,4
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Jaarsveld,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Jutphaas,Stoom,,1,,,,,,,,,,,,,,1,1,,,,,,3
Kamerik,Wind,,,,,,,,,,,,,,,,,1,,,,,1,2
Kockengen,Water,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind,,,,,,,,,,,,,,,,,,,,,,1,1
Leersum,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Leusden,Wind,,,,,,,,,,,,,,,,,2,,,,,,2
Lindschoten,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
,Water,,,,,,,,,,,,,,,,,,,,,,1,1
,Wind,,,,,,,,,,,,,,,,,1,,,1,,,2
Loenen,Stoom,,1,,,,,,,,1,,,,,,,,,,,,,2
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Loenersloot,Water,,,,,,,,,,,,,,,,,,,,,,1,1
Loosdrecht,Water,,,,,,,,,,,,,,,,,,,,,,2,2
Lopik,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Maarssen,Stoom,,2,,,,,,,,,,,,,,,,,,,,,2
Maartensdijk,Stoom,,,,,,1,,,,,,,,,,,,,,,,,1
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2
Mijdrecht,Stoom,,,,,,,,,,,,,,,,,,1,,,,1,2
,Wind,,,,,,,,,,,,,,,,,1,,,,,2,3
Montfoort,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Nigtevecht,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
Oudenrijn,Stoom,,1,,,,,,,,,,,,,,,,,,,,,1
Renswoude,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Rhenen,Stoom,,2,,,,,,,,,,,,,,,1,,,,,,3
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2
Schalkwijk,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
Soest,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Stoutenberg,Wind,,,,,,,,,,,,,,,,,,,,,,1,1
Utrecht,Stoom,,9,3,,3,2,2,,,1,3,1,,2,,4,10,,,4,2,,46
,Gas,,,3,,,,,,,,2,,,,,,12,,,2,,,19
,Water,,,,,,,,,,,,,,,,1,,,,,,,1
,Wind,,,,,,,,,,,,,,,,2,3,,,3,,,8
Veenedaal,Stoom,,,,,,,,,,,,,,,2,,,,,,,,2
Veldhuizen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Vreeland,Stoom,,,,,,,,,,,2,,,,,,1,,,,,,3
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2
Vreeswijk,Stoom,,,,,,,,,,,,,,,,,,1,,,,,1
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Werkhoven ,Wind,,,,,,,,,,,,,,,,,1,,,,,,1
Wijk bij Duurstede,Stoom,,2,1,,,,,,,,,,,,,,,,,,,,3
