Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,
,,,,,
Gemeenten,,MANNEN,,VROUWEN,
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden
,,,,,
Breda,,145,13,426,135
s Herthogenbosch,,279,26,458,133
Tilburg,,264,27,520,132
Totaal,,688,66,1404,400
Bergen op Zoom,,89,9,238,64
Boxtel,,39,9,79,43
Deurne e.a.,,24,2,49,8
Etten e.a.,,52,4,96,48
Helmond,,54,4,172,17
Loon op Zand,,38,,113,32
Oosterhout,,33,3,175,54
Oss,,38,,76,12
Prinsehage,,52,9,72,41
Rosendaal e.a.,,59,22,177,119
Schijndel,,29,6,69,26
Steenbergen e.a.,,62,4,125,43
Uden,,30,9,65,46
Veghel,,15,2,59,21
Vught,,41,1,92,19
Woensel,,42,2,107,11
Zevenbergen,,40,1,147,37
Totaal,,737,87,1911,641
Groep D totaal,,1886,261,4315,1435
Algemeen totaal,,3311,414,7630,2476
,,,,,
,,,,,
,,,,,
