Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarle-Bixtel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Alem,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Almkerk,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Alphen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Asten,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Wind,,,,,,,,,,,,,,,,1,2,,,,,,3,,
Baardwijk,Stoom,,,,,,,,,1,,,,,,,,1,,,,,,2,,
Baarle-Nassau,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Bakel c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Beek en Donk,Stoom,,,,,,,,,,,1,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Beers,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Bergeijk,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Bergen op Zoom,Stoom,,,,,,,2,,,1,2,,,1,,1,12,,1,3,2,,25,,
,Gas,,,,,,,,,,,,,,,,,1,,,1,,,2,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Berghem,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Berkel,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Berlieum,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Besoijn,Stoom,,,,,,,,,1,,,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Best,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Beugen c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Bladel c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Boekel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,1,,,3,,
Borkel c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
