Tabel 4: Hoofden van gezinnen en afzonderlijk levende personen zonder beroep,,,,,
,,,,,
Gemeenten,,MANNEN,,VROUWEN,
,,Hoofden,Afzonderlijk levenden,Hoofden,Afzonderlijk levenden
,,,,,
Maasstricht,,343,67,642,306
,,343,67,642,306
Heerlen,,42,1,84,25
Kerkrade,,63,17,154,43
Maasbree,,19,4,40,21
Roermond,,125,12,211,54
Sittard,,50,8,89,36
Venlo,,64,8,174,48
Venray,,13,6,61,21
Weert,,26,4,68,33
Totaal,,402,60,881,281
Totaal overige gemeenten,,809,180,1752,594
Algemeen totaal,,1554,307,3275,1181
