Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenr
,,,,,,,,,,,,,,,,,,,,,,,,,
Areen en Velden,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,340183
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Baexen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Beegden,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Beek,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Beesel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Bergen,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,
Berg en Terblijt,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Borgharen,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Born,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Broekhuizen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Brunssum,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Buggenum,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Bunde,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
Echt,Stoom,,,,,,,,,,,,,,,,1,,,,,,,1,
,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Eijsden,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
Gennep,Stoom,,,,,,1,,,,,,,,,,,,,,,1,,2,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Geulle,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Grathem,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Grevenbicht,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,
Gronsveld,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Grubbenvorst,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Gulpen,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
Haelen,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Heerlen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,2,2,,,,,4,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Heijthuizen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,1,,,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Helden,Stoom,,,,,,,,,,,,,,,,,1,,,1,,,2,
,Wind,,,,,,,,,,,,,,,,,6,,,,,,6,
Hoensbroek,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Horn,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Horst,Stoom,,,,,,,,,,1,,,,,,,3,,,,,,4,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Hunsel,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Ittervoort,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Jabeek,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Kerkrade,Stoom,,,,,1,,,,,,,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,,,,,,5,5,
Kessel,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Limbricht,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Linne,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Maasbracht,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Maasbree,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
,Wind,,,,,,,,,,,,,,,,,7,,,,,,7,
Maasniel,Stoom,,,,,1,,,,,,,1,,,,,2,,,,,,4,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Maastricht,Stoom,,3,3,4,1,1,1,,,,5,2,,1,,2,28,,,3,2,,56,
,Gas,,,2,,,,,,,,1,,,,,,3,,,1,,,7,
,Water,,,,,,,,,,,,1,,,,,3,,,,,,4,
Meerlo,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Meersen,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Meijel,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Melich en Herkenbosch,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Mesch,Water,,,,,,,,,,,,,,,,,,1,,,,,1,
Mheer,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Montfort,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Mook,Stoom,,,,,,,,,,,1,,,,,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Munstergeleen,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Nederweert,Wind,,,,,,,,,,,,,,,,,11,,,,,,11,
,,,,,,,,,,,,,,,,,,,,,,,,0,330184
Neer,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
Neeritter,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Nieuwstad,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Numhem,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
