g,label,CS Code,CS Code,CS Code
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Overige huizen,2-0,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Schepen,2-10,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Ziekenhuis,2-21,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Stads Ziekenhuis,2-21,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Armgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Armengesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Herv. Diaconie armgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,R.C. armengesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Roomsch katholiek armengesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Krankzinnigengesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Roomsch Catholiek armgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,St. Annagesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,St. Elizabethsgesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,St. Joseph gesticht,2-23,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Nieuw St. Anthonij gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Oud St. Anthonij gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,St. Anthonij gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Diaconie-gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Westerhuis vrouwengasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Popma-gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Ritske Boelema gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Boshuijzer gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Abbe Freerks Gabbema gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Marcelis Goverts gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Gasthuis Vredenhof,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Dr. H. van Popta gasthuis,2-41,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Algemeen Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,R.C. Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Armhuis van het burgerlijk armbestuur,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Diakonie armhuis der Ned. Herv. Gemeente,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Diaconie-Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Wees- en armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Stads Armhuis,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Diaconie armh.,2-42,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,St. Anthonij weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Old Burger Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Diaconie weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Stads Burgerweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,R.C. arm- en weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Weeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Klaarkampsterweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Hervormd diaconieweeshuis,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Roomsch Catholiek weeshuis voor jongens,2-43,,
http://lod.cedar-project.nl/resource/v2/VT_1879_01_H1,Nieuw Stadsweeshuis,2-43,,
