"Literal",Code
"7e dag adventisten",http://bit.ly/cedar#belief-1
"adoculist",http://bit.ly/cedar#belief-2
"adoculisten",http://bit.ly/cedar#belief-2
"adventist",http://bit.ly/cedar#belief-1
"adventisten",http://bit.ly/cedar#belief-1
"adventisten (de nederl vereen van zevende -dags-adventisten)",http://bit.ly/cedar#belief-1
"adventisten (de nederl vereen van zevende-dags-adventisten)",http://bit.ly/cedar#belief-1
"afgescheiden gemeente",http://bit.ly/cedar#belief-3
"afgescheiden gemeenten",http://bit.ly/cedar#belief-3
"afgescheiden israelieten",http://bit.ly/cedar#belief-4
"afgescheiden israëliten",http://bit.ly/cedar#belief-4
"afgescheiden israëlitische gem",http://bit.ly/cedar#belief-4
"afgescheiden israëlitische gemeente",http://bit.ly/cedar#belief-113
"algem kerk vh nieuw jeruzalem (swedeborgianen)",http://bit.ly/cedar#belief-5
"algem kerk vhnieuw jeruzalem (swedeborg genootschap)",http://bit.ly/cedar#belief-5
"algemeene broederschap organisatie",http://bit.ly/cedar#belief-6
"algemeene christelijke kerk in sion",http://bit.ly/cedar#belief-7
"algemene broederschap organisatie",http://bit.ly/cedar#belief-6
"algemene christelijke kerk in sion",http://bit.ly/cedar#belief-7
"algemene kerk van het nieuw jeruzalem (swedeborg genootschap)",http://bit.ly/cedar#belief-5
"ander geloofsgenootschap of kerkelijke gezindte",http://bit.ly/cedar#belief-8
"andere gezindten (personen behoorende tot een buitenlandsch, niet in nederland gevestigd kerkgenootschap)",http://bit.ly/cedar#belief-8
"andere kerk gezindten",http://bit.ly/cedar#belief-8
"andere kerkel gezindten",http://bit.ly/cedar#belief-8
"andere kerkelijke gezindte",http://bit.ly/cedar#belief-8
"anglicaans episcopaalse kerk",http://bit.ly/cedar#belief-9
"anglicaansch episcopalen",http://bit.ly/cedar#belief-9
"anglicaansche episcopalen",http://bit.ly/cedar#belief-9
"anglikaansch episcop kerk",http://bit.ly/cedar#belief-9
"anglikaansch episcopale kerk",http://bit.ly/cedar#belief-9
"anglikaansch-episcopalen",http://bit.ly/cedar#belief-9
"anglikaansche episcopalen",http://bit.ly/cedar#belief-9
"anthroposophische vereeniging",http://bit.ly/cedar#belief-10
"anthroposophische vereniging",http://bit.ly/cedar#belief-10
"antoinisme",http://bit.ly/cedar#belief-11
"apostolisch genootschap",http://bit.ly/cedar#belief-12
"apostolische gemeente",http://bit.ly/cedar#belief-13
"apostolischen",http://bit.ly/cedar#belief-14
"apostolischen (verzamelterm)",http://bit.ly/cedar#belief-14
"armeens apostolische kerk",http://bit.ly/cedar#belief-15
"armenianen",http://bit.ly/cedar#belief-15
"baptisten",http://bit.ly/cedar#belief-16
"baptisten gemeenten",http://bit.ly/cedar#belief-16
"beh tot de gereformeerde kerken",http://bit.ly/cedar#belief-17
"behoorende tot de gereformeerde kerken",http://bit.ly/cedar#belief-17
"belgische zendingskerk",http://bit.ly/cedar#belief-18
"bethel, genezen door gebed",http://bit.ly/cedar#belief-19
"bijbel zendingsgenootschap",http://bit.ly/cedar#belief-20
"bijbels zendingsgenootschap",http://bit.ly/cedar#belief-20
"blavats bij boeddhisme",http://bit.ly/cedar#belief-21
"boeddhisme",http://bit.ly/cedar#belief-22
"boeddhist",http://bit.ly/cedar#belief-22
"boeddhisten",http://bit.ly/cedar#belief-22
"bond van religieuse an-archo-communisten",http://bit.ly/cedar#belief-23
"bond van religieuze anarco-communisten",http://bit.ly/cedar#belief-23
"bond van vrije christelijke gem in nederland",http://bit.ly/cedar#belief-76
"bond van vrije evangelische gemeenten",http://bit.ly/cedar#belief-76
"brahmanen",http://bit.ly/cedar#belief-25
"broedergemeente",http://bit.ly/cedar#belief-47
"calvinisten",http://bit.ly/cedar#belief-27
"calvinisten (verzamelterm)",http://bit.ly/cedar#belief-27
"chr geref kerk",http://bit.ly/cedar#belief-28
"chrgerefkerk",http://bit.ly/cedar#belief-28
"christ geref kerk",http://bit.ly/cedar#belief-28
"christelijk afgescheiden",http://bit.ly/cedar#belief-29
"christelijk afgescheiden gem",http://bit.ly/cedar#belief-29
