"Literal",Code
"'s-graveland",http://www.gemeentegeschiedenis.nl/amco/10534
"'s-gravenambacht",http://www.gemeentegeschiedenis.nl/amco/10935
"'s-gravendeel",http://www.gemeentegeschiedenis.nl/amco/10052
"'s-gravenhage",http://www.gemeentegeschiedenis.nl/amco/11434
"'s-gravenhoek",http://www.gemeentegeschiedenis.nl/amco/11420
"'s-gravenmoer",http://www.gemeentegeschiedenis.nl/amco/10469
"'s-gravenpolder",http://www.gemeentegeschiedenis.nl/amco/11059
"'s-gravenzande",http://www.gemeentegeschiedenis.nl/amco/10640
"'s-gravesloot",http://www.gemeentegeschiedenis.nl/amco/10882
"'s-heer abtskerke",http://www.gemeentegeschiedenis.nl/amco/10337
"'s-heer arendskerke",http://www.gemeentegeschiedenis.nl/amco/10875
"'s-heer hendrikskinderen",http://www.gemeentegeschiedenis.nl/amco/10117
"'s-heerenberg",http://www.gemeentegeschiedenis.nl/amco/10350
"'s-heerenhoek",http://www.gemeentegeschiedenis.nl/amco/10721
"'s-hertogenbosch",http://www.gemeentegeschiedenis.nl/amco/10054
"'t woud",http://www.gemeentegeschiedenis.nl/amco/11446
"'t zandt",http://www.gemeentegeschiedenis.nl/amco/10956
"aa en hunze",http://www.gemeentegeschiedenis.nl/amco/10787
"aagtekerke",http://www.gemeentegeschiedenis.nl/amco/10531
"aalburg",http://www.gemeentegeschiedenis.nl/amco/11084
"aalsmeer",http://www.gemeentegeschiedenis.nl/amco/11264
"aalst",http://www.gemeentegeschiedenis.nl/amco/11423
"aalten",http://www.gemeentegeschiedenis.nl/amco/11046
"aardenburg",http://www.gemeentegeschiedenis.nl/amco/11020
"aarlanderveen",http://www.gemeentegeschiedenis.nl/amco/11242
"aarle-rixtel",http://www.gemeentegeschiedenis.nl/amco/10757
"abbekerk",http://www.gemeentegeschiedenis.nl/amco/10439
"abbenbroek",http://www.gemeentegeschiedenis.nl/amco/11026
"abcoude",http://www.gemeentegeschiedenis.nl/amco/10712
"abcoude-baambrugge",http://www.gemeentegeschiedenis.nl/amco/11184
"abcoude-proostdij",http://www.gemeentegeschiedenis.nl/amco/10712
"abstede",http://www.gemeentegeschiedenis.nl/amco/11068
"abtsregt",http://www.gemeentegeschiedenis.nl/amco/10946
"achthoven",http://www.gemeentegeschiedenis.nl/amco/10141
"achtkarspelen",http://www.gemeentegeschiedenis.nl/amco/10199
"achttienhoven",http://www.gemeentegeschiedenis.nl/amco/10972
"ackersdijk en vrouwenregt",http://www.gemeentegeschiedenis.nl/amco/10013
"adorp",http://www.gemeentegeschiedenis.nl/amco/10996
"aduard",http://www.gemeentegeschiedenis.nl/amco/10999
"aengwirden",http://www.gemeentegeschiedenis.nl/amco/10157
"afferden",http://www.gemeentegeschiedenis.nl/amco/11015
"akersloot",http://www.gemeentegeschiedenis.nl/amco/10346
"akkrum",http://www.gemeentegeschiedenis.nl/amco/10140
"alblasserdam",http://www.gemeentegeschiedenis.nl/amco/11327
"albrandswaard",http://www.gemeentegeschiedenis.nl/amco/10124
"alem",http://www.gemeentegeschiedenis.nl/amco/10745
"alem, maren en kessel",http://www.gemeentegeschiedenis.nl/amco/10495
"alkemade",http://www.gemeentegeschiedenis.nl/amco/10349
"alkmaar",http://www.gemeentegeschiedenis.nl/amco/10527
"almelo",http://www.gemeentegeschiedenis.nl/amco/11053
"almenum",http://www.gemeentegeschiedenis.nl/amco/10001
"almere",http://www.gemeentegeschiedenis.nl/amco/10018
"almkerk",http://www.gemeentegeschiedenis.nl/amco/10788
"alphen",http://www.gemeentegeschiedenis.nl/amco/10995
"alphen aan den rijn",http://www.gemeentegeschiedenis.nl/amco/10517
"alphen en riel",http://www.gemeentegeschiedenis.nl/amco/10710
"alphen-chaam",http://www.gemeentegeschiedenis.nl/amco/10710
"ambt almelo",http://www.gemeentegeschiedenis.nl/amco/11065
"ambt delden",http://www.gemeentegeschiedenis.nl/amco/11400
"ambt doetinchem",http://www.gemeentegeschiedenis.nl/amco/10396
"ambt hardenberg",http://www.gemeentegeschiedenis.nl/amco/10174
"ambt montfort",http://www.gemeentegeschiedenis.nl/amco/10456
"ambt ommen",http://www.gemeentegeschiedenis.nl/amco/11069
"ambt vollenhove",http://www.gemeentegeschiedenis.nl/amco/11088
"amby",http://www.gemeentegeschiedenis.nl/amco/10922
"ameide",http://www.gemeentegeschiedenis.nl/amco/11349
"ameland",http://www.gemeentegeschiedenis.nl/amco/11153
"amerongen",http://www.gemeentegeschiedenis.nl/amco/11372
"amersfoort",http://www.gemeentegeschiedenis.nl/amco/10948
"ammerstol",http://www.gemeentegeschiedenis.nl/amco/10863
"ammerzoden",http://www.gemeentegeschiedenis.nl/amco/10151
