"Literal",Code
"o",http://bit.ly/cedar-maritalstatus#single
"ongehuwden",http://bit.ly/cedar-maritalstatus#single
"ongehuwd",http://bit.ly/cedar-maritalstatus#single
"Ondehuwd",http://bit.ly/cedar-maritalstatus#single
"g",http://bit.ly/cedar-maritalstatus#married
"gehuwden",http://bit.ly/cedar-maritalstatus#married
"gehuwd",http://bit.ly/cedar-maritalstatus#married
"weduwe",http://bit.ly/cedar-maritalstatus#widow
"weduwen",http://bit.ly/cedar-maritalstatus#widow
"weduwenaars",http://bit.ly/cedar-maritalstatus#widow
