"Literal",Code
"#*",http://bit.ly/cedar-hisco#hisco--1
"'s landsaannemer",http://bit.ly/cedar-hisco#hisco-21240
"'s landsarchitect",http://bit.ly/cedar-hisco#hisco-02120
"'s rijkaambtenaar",http://bit.ly/cedar-hisco#hisco-30000
"'s rijksambtenaar",http://bit.ly/cedar-hisco#hisco-30000
"'s rijkscommies",http://bit.ly/cedar-hisco#hisco-30000
"'s-landscommies",http://bit.ly/cedar-hisco#hisco-30000
"'t smidsbedrijf uitoefenende",http://bit.ly/cedar-hisco#hisco-83110
"(ov te 's gravemoer)",http://bit.ly/cedar-hisco#hisco--1
"(ov te yerseke)",http://bit.ly/cedar-hisco#hisco--1
"-1",http://bit.ly/cedar-hisco#hisco--1
"1 ste ziekenoppasser marine",http://bit.ly/cedar-hisco#hisco-07110
"1e boekhouder in de wisselbank",http://bit.ly/cedar-hisco#hisco-33110
"1e bootsman,maat korvet boreas",http://bit.ly/cedar-hisco#hisco-98120
"1e commies bij de in- en uitgaande rechten",http://bit.ly/cedar-hisco#hisco-31040
"1e commies bij het postkantoor",http://bit.ly/cedar-hisco#hisco-33170
"1e commies sted secretarie",http://bit.ly/cedar-hisco#hisco-31090
"1e fitter aan 't gasfabriek",http://bit.ly/cedar-hisco#hisco-87120
"1e kapitein ingenieur",http://bit.ly/cedar-hisco#hisco-58320
"1e klerk ter secretarie",http://bit.ly/cedar-hisco#hisco-30000
"1e komm dep rijksontvangsten",http://bit.ly/cedar-hisco#hisco-31030
"1e lieut 6e bat nat militie",http://bit.ly/cedar-hisco#hisco-58320
"1e luit 2e divisie landmagt",http://bit.ly/cedar-hisco#hisco-58320
"1e luit 4e reginfanterie",http://bit.ly/cedar-hisco#hisco-58320
"1e luit 6e regim infanterie",http://bit.ly/cedar-hisco#hisco-58320
"1e luit bij infanterie",http://bit.ly/cedar-hisco#hisco-58320
"1e luit ingenieur",http://bit.ly/cedar-hisco#hisco-58320
"1e luit1e div korps marinier",http://bit.ly/cedar-hisco#hisco-58320
"1e luiten3e battartillerie",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant 14e afd infant",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant 2e afdnationale#",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant 2e reginfanterie",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant 3e komp 2e bat#",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant 6e afdinfanterie",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant adjudant der #",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant adjudant infant",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant b/d artillerie",http://bit.ly/cedar-hisco#hisco-58320
"1e luitenant bij de infanterie",http://bit.ly/cedar-hisco#hisco-58320
