"Literal",Code
"drenthe",http://www.gemeentegeschiedenis.nl/provincie/Drenthe
"flevoland",http://www.gemeentegeschiedenis.nl/provincie/Flevoland
"friesland",http://www.gemeentegeschiedenis.nl/provincie/Friesland
"gelderland",http://www.gemeentegeschiedenis.nl/provincie/Gelderland
"groningen",http://www.gemeentegeschiedenis.nl/provincie/Groningen
"limburg",http://www.gemeentegeschiedenis.nl/provincie/Limburg
"north brabant",http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant
"north-brabant",http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant
"northbrabant",http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant
"north holland",http://www.gemeentegeschiedenis.nl/provincie/Noord-Holland
"north-holland",http://www.gemeentegeschiedenis.nl/provincie/Noord-Holland
"northholland",http://www.gemeentegeschiedenis.nl/provincie/Noord-Holland
"overijssel",http://www.gemeentegeschiedenis.nl/provincie/Overijssel
"south holland",http://www.gemeentegeschiedenis.nl/provincie/Zuid-Holland
"south-holland",http://www.gemeentegeschiedenis.nl/provincie/Zuid-Holland
"southholland",http://www.gemeentegeschiedenis.nl/provincie/Zuid-Holland
"utrecht",http://www.gemeentegeschiedenis.nl/provincie/Utrecht
"zeeland",http://www.gemeentegeschiedenis.nl/provincie/Zeeland
