"Literal",Code
"v",http://purl.org/linked-data/sdmx/2009/code#sex-F
"vrouw",http://purl.org/linked-data/sdmx/2009/code#sex-F
"vrouwen",http://purl.org/linked-data/sdmx/2009/code#sex-F
"vrouwelijk geslacht",http://purl.org/linked-data/sdmx/2009/code#sex-F
"vrouwelijk",http://purl.org/linked-data/sdmx/2009/code#sex-F
"m",http://purl.org/linked-data/sdmx/2009/code#sex-M
"man",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannen",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannelijk geslacht",http://purl.org/linked-data/sdmx/2009/code#sex-M
"mannelijk",http://purl.org/linked-data/sdmx/2009/code#sex-M

